audio_path,emotion
dataset/RAVDESS\Actor_01\03-01-01-01-01-01-01.wav,neutral
dataset/RAVDESS\Actor_01\03-01-01-01-01-02-01.wav,neutral
dataset/RAVDESS\Actor_01\03-01-01-01-02-01-01.wav,neutral
dataset/RAVDESS\Actor_01\03-01-01-01-02-02-01.wav,neutral
dataset/RAVDESS\Actor_01\03-01-02-01-01-01-01.wav,calm
dataset/RAVDESS\Actor_01\03-01-02-01-01-02-01.wav,calm
dataset/RAVDESS\Actor_01\03-01-02-01-02-01-01.wav,calm
dataset/RAVDESS\Actor_01\03-01-02-01-02-02-01.wav,calm
dataset/RAVDESS\Actor_01\03-01-02-02-01-01-01.wav,calm
dataset/RAVDESS\Actor_01\03-01-02-02-01-02-01.wav,calm
dataset/RAVDESS\Actor_01\03-01-02-02-02-01-01.wav,calm
dataset/RAVDESS\Actor_01\03-01-02-02-02-02-01.wav,calm
dataset/RAVDESS\Actor_01\03-01-03-01-01-01-01.wav,happy
dataset/RAVDESS\Actor_01\03-01-03-01-01-02-01.wav,happy
dataset/RAVDESS\Actor_01\03-01-03-01-02-01-01.wav,happy
dataset/RAVDESS\Actor_01\03-01-03-01-02-02-01.wav,happy
dataset/RAVDESS\Actor_01\03-01-03-02-01-01-01.wav,happy
dataset/RAVDESS\Actor_01\03-01-03-02-01-02-01.wav,happy
dataset/RAVDESS\Actor_01\03-01-03-02-02-01-01.wav,happy
dataset/RAVDESS\Actor_01\03-01-03-02-02-02-01.wav,happy
dataset/RAVDESS\Actor_01\03-01-04-01-01-01-01.wav,sad
dataset/RAVDESS\Actor_01\03-01-04-01-01-02-01.wav,sad
dataset/RAVDESS\Actor_01\03-01-04-01-02-01-01.wav,sad
dataset/RAVDESS\Actor_01\03-01-04-01-02-02-01.wav,sad
dataset/RAVDESS\Actor_01\03-01-04-02-01-01-01.wav,sad
dataset/RAVDESS\Actor_01\03-01-04-02-01-02-01.wav,sad
dataset/RAVDESS\Actor_01\03-01-04-02-02-01-01.wav,sad
dataset/RAVDESS\Actor_01\03-01-04-02-02-02-01.wav,sad
dataset/RAVDESS\Actor_01\03-01-05-01-01-01-01.wav,angry
dataset/RAVDESS\Actor_01\03-01-05-01-01-02-01.wav,angry
dataset/RAVDESS\Actor_01\03-01-05-01-02-01-01.wav,angry
dataset/RAVDESS\Actor_01\03-01-05-01-02-02-01.wav,angry
dataset/RAVDESS\Actor_01\03-01-05-02-01-01-01.wav,angry
dataset/RAVDESS\Actor_01\03-01-05-02-01-02-01.wav,angry
dataset/RAVDESS\Actor_01\03-01-05-02-02-01-01.wav,angry
dataset/RAVDESS\Actor_01\03-01-05-02-02-02-01.wav,angry
dataset/RAVDESS\Actor_01\03-01-06-01-01-01-01.wav,fear
dataset/RAVDESS\Actor_01\03-01-06-01-01-02-01.wav,fear
dataset/RAVDESS\Actor_01\03-01-06-01-02-01-01.wav,fear
dataset/RAVDESS\Actor_01\03-01-06-01-02-02-01.wav,fear
dataset/RAVDESS\Actor_01\03-01-06-02-01-01-01.wav,fear
dataset/RAVDESS\Actor_01\03-01-06-02-01-02-01.wav,fear
dataset/RAVDESS\Actor_01\03-01-06-02-02-01-01.wav,fear
dataset/RAVDESS\Actor_01\03-01-06-02-02-02-01.wav,fear
dataset/RAVDESS\Actor_01\03-01-07-01-01-01-01.wav,disgust
dataset/RAVDESS\Actor_01\03-01-07-01-01-02-01.wav,disgust
dataset/RAVDESS\Actor_01\03-01-07-01-02-01-01.wav,disgust
dataset/RAVDESS\Actor_01\03-01-07-01-02-02-01.wav,disgust
dataset/RAVDESS\Actor_01\03-01-07-02-01-01-01.wav,disgust
dataset/RAVDESS\Actor_01\03-01-07-02-01-02-01.wav,disgust
dataset/RAVDESS\Actor_01\03-01-07-02-02-01-01.wav,disgust
dataset/RAVDESS\Actor_01\03-01-07-02-02-02-01.wav,disgust
dataset/RAVDESS\Actor_01\03-01-08-01-01-01-01.wav,surprise
dataset/RAVDESS\Actor_01\03-01-08-01-01-02-01.wav,surprise
dataset/RAVDESS\Actor_01\03-01-08-01-02-01-01.wav,surprise
dataset/RAVDESS\Actor_01\03-01-08-01-02-02-01.wav,surprise
dataset/RAVDESS\Actor_01\03-01-08-02-01-01-01.wav,surprise
dataset/RAVDESS\Actor_01\03-01-08-02-01-02-01.wav,surprise
dataset/RAVDESS\Actor_01\03-01-08-02-02-01-01.wav,surprise
dataset/RAVDESS\Actor_01\03-01-08-02-02-02-01.wav,surprise
dataset/RAVDESS\Actor_02\03-01-01-01-01-01-02.wav,neutral
dataset/RAVDESS\Actor_02\03-01-01-01-01-02-02.wav,neutral
dataset/RAVDESS\Actor_02\03-01-01-01-02-01-02.wav,neutral
dataset/RAVDESS\Actor_02\03-01-01-01-02-02-02.wav,neutral
dataset/RAVDESS\Actor_02\03-01-02-01-01-01-02.wav,calm
dataset/RAVDESS\Actor_02\03-01-02-01-01-02-02.wav,calm
dataset/RAVDESS\Actor_02\03-01-02-01-02-01-02.wav,calm
dataset/RAVDESS\Actor_02\03-01-02-01-02-02-02.wav,calm
dataset/RAVDESS\Actor_02\03-01-02-02-01-01-02.wav,calm
dataset/RAVDESS\Actor_02\03-01-02-02-01-02-02.wav,calm
dataset/RAVDESS\Actor_02\03-01-02-02-02-01-02.wav,calm
dataset/RAVDESS\Actor_02\03-01-02-02-02-02-02.wav,calm
dataset/RAVDESS\Actor_02\03-01-03-01-01-01-02.wav,happy
dataset/RAVDESS\Actor_02\03-01-03-01-01-02-02.wav,happy
dataset/RAVDESS\Actor_02\03-01-03-01-02-01-02.wav,happy
dataset/RAVDESS\Actor_02\03-01-03-01-02-02-02.wav,happy
dataset/RAVDESS\Actor_02\03-01-03-02-01-01-02.wav,happy
dataset/RAVDESS\Actor_02\03-01-03-02-01-02-02.wav,happy
dataset/RAVDESS\Actor_02\03-01-03-02-02-01-02.wav,happy
dataset/RAVDESS\Actor_02\03-01-03-02-02-02-02.wav,happy
dataset/RAVDESS\Actor_02\03-01-04-01-01-01-02.wav,sad
dataset/RAVDESS\Actor_02\03-01-04-01-01-02-02.wav,sad
dataset/RAVDESS\Actor_02\03-01-04-01-02-01-02.wav,sad
dataset/RAVDESS\Actor_02\03-01-04-01-02-02-02.wav,sad
dataset/RAVDESS\Actor_02\03-01-04-02-01-01-02.wav,sad
dataset/RAVDESS\Actor_02\03-01-04-02-01-02-02.wav,sad
dataset/RAVDESS\Actor_02\03-01-04-02-02-01-02.wav,sad
dataset/RAVDESS\Actor_02\03-01-04-02-02-02-02.wav,sad
dataset/RAVDESS\Actor_02\03-01-05-01-01-01-02.wav,angry
dataset/RAVDESS\Actor_02\03-01-05-01-01-02-02.wav,angry
dataset/RAVDESS\Actor_02\03-01-05-01-02-01-02.wav,angry
dataset/RAVDESS\Actor_02\03-01-05-01-02-02-02.wav,angry
dataset/RAVDESS\Actor_02\03-01-05-02-01-01-02.wav,angry
dataset/RAVDESS\Actor_02\03-01-05-02-01-02-02.wav,angry
dataset/RAVDESS\Actor_02\03-01-05-02-02-01-02.wav,angry
dataset/RAVDESS\Actor_02\03-01-05-02-02-02-02.wav,angry
dataset/RAVDESS\Actor_02\03-01-06-01-01-01-02.wav,fear
dataset/RAVDESS\Actor_02\03-01-06-01-01-02-02.wav,fear
dataset/RAVDESS\Actor_02\03-01-06-01-02-01-02.wav,fear
dataset/RAVDESS\Actor_02\03-01-06-01-02-02-02.wav,fear
dataset/RAVDESS\Actor_02\03-01-06-02-01-01-02.wav,fear
dataset/RAVDESS\Actor_02\03-01-06-02-01-02-02.wav,fear
dataset/RAVDESS\Actor_02\03-01-06-02-02-01-02.wav,fear
dataset/RAVDESS\Actor_02\03-01-06-02-02-02-02.wav,fear
dataset/RAVDESS\Actor_02\03-01-07-01-01-01-02.wav,disgust
dataset/RAVDESS\Actor_02\03-01-07-01-01-02-02.wav,disgust
dataset/RAVDESS\Actor_02\03-01-07-01-02-01-02.wav,disgust
dataset/RAVDESS\Actor_02\03-01-07-01-02-02-02.wav,disgust
dataset/RAVDESS\Actor_02\03-01-07-02-01-01-02.wav,disgust
dataset/RAVDESS\Actor_02\03-01-07-02-01-02-02.wav,disgust
dataset/RAVDESS\Actor_02\03-01-07-02-02-01-02.wav,disgust
dataset/RAVDESS\Actor_02\03-01-07-02-02-02-02.wav,disgust
dataset/RAVDESS\Actor_02\03-01-08-01-01-01-02.wav,surprise
dataset/RAVDESS\Actor_02\03-01-08-01-01-02-02.wav,surprise
dataset/RAVDESS\Actor_02\03-01-08-01-02-01-02.wav,surprise
dataset/RAVDESS\Actor_02\03-01-08-01-02-02-02.wav,surprise
dataset/RAVDESS\Actor_02\03-01-08-02-01-01-02.wav,surprise
dataset/RAVDESS\Actor_02\03-01-08-02-01-02-02.wav,surprise
dataset/RAVDESS\Actor_02\03-01-08-02-02-01-02.wav,surprise
dataset/RAVDESS\Actor_02\03-01-08-02-02-02-02.wav,surprise
dataset/RAVDESS\Actor_03\03-01-01-01-01-01-03.wav,neutral
dataset/RAVDESS\Actor_03\03-01-01-01-01-02-03.wav,neutral
dataset/RAVDESS\Actor_03\03-01-01-01-02-01-03.wav,neutral
dataset/RAVDESS\Actor_03\03-01-01-01-02-02-03.wav,neutral
dataset/RAVDESS\Actor_03\03-01-02-01-01-01-03.wav,calm
dataset/RAVDESS\Actor_03\03-01-02-01-01-02-03.wav,calm
dataset/RAVDESS\Actor_03\03-01-02-01-02-01-03.wav,calm
dataset/RAVDESS\Actor_03\03-01-02-01-02-02-03.wav,calm
dataset/RAVDESS\Actor_03\03-01-02-02-01-01-03.wav,calm
dataset/RAVDESS\Actor_03\03-01-02-02-01-02-03.wav,calm
dataset/RAVDESS\Actor_03\03-01-02-02-02-01-03.wav,calm
dataset/RAVDESS\Actor_03\03-01-02-02-02-02-03.wav,calm
dataset/RAVDESS\Actor_03\03-01-03-01-01-01-03.wav,happy
dataset/RAVDESS\Actor_03\03-01-03-01-01-02-03.wav,happy
dataset/RAVDESS\Actor_03\03-01-03-01-02-01-03.wav,happy
dataset/RAVDESS\Actor_03\03-01-03-01-02-02-03.wav,happy
dataset/RAVDESS\Actor_03\03-01-03-02-01-01-03.wav,happy
dataset/RAVDESS\Actor_03\03-01-03-02-01-02-03.wav,happy
dataset/RAVDESS\Actor_03\03-01-03-02-02-01-03.wav,happy
dataset/RAVDESS\Actor_03\03-01-03-02-02-02-03.wav,happy
dataset/RAVDESS\Actor_03\03-01-04-01-01-01-03.wav,sad
dataset/RAVDESS\Actor_03\03-01-04-01-01-02-03.wav,sad
dataset/RAVDESS\Actor_03\03-01-04-01-02-01-03.wav,sad
dataset/RAVDESS\Actor_03\03-01-04-01-02-02-03.wav,sad
dataset/RAVDESS\Actor_03\03-01-04-02-01-01-03.wav,sad
dataset/RAVDESS\Actor_03\03-01-04-02-01-02-03.wav,sad
dataset/RAVDESS\Actor_03\03-01-04-02-02-01-03.wav,sad
dataset/RAVDESS\Actor_03\03-01-04-02-02-02-03.wav,sad
dataset/RAVDESS\Actor_03\03-01-05-01-01-01-03.wav,angry
dataset/RAVDESS\Actor_03\03-01-05-01-01-02-03.wav,angry
dataset/RAVDESS\Actor_03\03-01-05-01-02-01-03.wav,angry
dataset/RAVDESS\Actor_03\03-01-05-01-02-02-03.wav,angry
dataset/RAVDESS\Actor_03\03-01-05-02-01-01-03.wav,angry
dataset/RAVDESS\Actor_03\03-01-05-02-01-02-03.wav,angry
dataset/RAVDESS\Actor_03\03-01-05-02-02-01-03.wav,angry
dataset/RAVDESS\Actor_03\03-01-05-02-02-02-03.wav,angry
dataset/RAVDESS\Actor_03\03-01-06-01-01-01-03.wav,fear
dataset/RAVDESS\Actor_03\03-01-06-01-01-02-03.wav,fear
dataset/RAVDESS\Actor_03\03-01-06-01-02-01-03.wav,fear
dataset/RAVDESS\Actor_03\03-01-06-01-02-02-03.wav,fear
dataset/RAVDESS\Actor_03\03-01-06-02-01-01-03.wav,fear
dataset/RAVDESS\Actor_03\03-01-06-02-01-02-03.wav,fear
dataset/RAVDESS\Actor_03\03-01-06-02-02-01-03.wav,fear
dataset/RAVDESS\Actor_03\03-01-06-02-02-02-03.wav,fear
dataset/RAVDESS\Actor_03\03-01-07-01-01-01-03.wav,disgust
dataset/RAVDESS\Actor_03\03-01-07-01-01-02-03.wav,disgust
dataset/RAVDESS\Actor_03\03-01-07-01-02-01-03.wav,disgust
dataset/RAVDESS\Actor_03\03-01-07-01-02-02-03.wav,disgust
dataset/RAVDESS\Actor_03\03-01-07-02-01-01-03.wav,disgust
dataset/RAVDESS\Actor_03\03-01-07-02-01-02-03.wav,disgust
dataset/RAVDESS\Actor_03\03-01-07-02-02-01-03.wav,disgust
dataset/RAVDESS\Actor_03\03-01-07-02-02-02-03.wav,disgust
dataset/RAVDESS\Actor_03\03-01-08-01-01-01-03.wav,surprise
dataset/RAVDESS\Actor_03\03-01-08-01-01-02-03.wav,surprise
dataset/RAVDESS\Actor_03\03-01-08-01-02-01-03.wav,surprise
dataset/RAVDESS\Actor_03\03-01-08-01-02-02-03.wav,surprise
dataset/RAVDESS\Actor_03\03-01-08-02-01-01-03.wav,surprise
dataset/RAVDESS\Actor_03\03-01-08-02-01-02-03.wav,surprise
dataset/RAVDESS\Actor_03\03-01-08-02-02-01-03.wav,surprise
dataset/RAVDESS\Actor_03\03-01-08-02-02-02-03.wav,surprise
dataset/RAVDESS\Actor_04\03-01-01-01-01-01-04.wav,neutral
dataset/RAVDESS\Actor_04\03-01-01-01-01-02-04.wav,neutral
dataset/RAVDESS\Actor_04\03-01-01-01-02-01-04.wav,neutral
dataset/RAVDESS\Actor_04\03-01-01-01-02-02-04.wav,neutral
dataset/RAVDESS\Actor_04\03-01-02-01-01-01-04.wav,calm
dataset/RAVDESS\Actor_04\03-01-02-01-01-02-04.wav,calm
dataset/RAVDESS\Actor_04\03-01-02-01-02-01-04.wav,calm
dataset/RAVDESS\Actor_04\03-01-02-01-02-02-04.wav,calm
dataset/RAVDESS\Actor_04\03-01-02-02-01-01-04.wav,calm
dataset/RAVDESS\Actor_04\03-01-02-02-01-02-04.wav,calm
dataset/RAVDESS\Actor_04\03-01-02-02-02-01-04.wav,calm
dataset/RAVDESS\Actor_04\03-01-02-02-02-02-04.wav,calm
dataset/RAVDESS\Actor_04\03-01-03-01-01-01-04.wav,happy
dataset/RAVDESS\Actor_04\03-01-03-01-01-02-04.wav,happy
dataset/RAVDESS\Actor_04\03-01-03-01-02-01-04.wav,happy
dataset/RAVDESS\Actor_04\03-01-03-01-02-02-04.wav,happy
dataset/RAVDESS\Actor_04\03-01-03-02-01-01-04.wav,happy
dataset/RAVDESS\Actor_04\03-01-03-02-01-02-04.wav,happy
dataset/RAVDESS\Actor_04\03-01-03-02-02-01-04.wav,happy
dataset/RAVDESS\Actor_04\03-01-03-02-02-02-04.wav,happy
dataset/RAVDESS\Actor_04\03-01-04-01-01-01-04.wav,sad
dataset/RAVDESS\Actor_04\03-01-04-01-01-02-04.wav,sad
dataset/RAVDESS\Actor_04\03-01-04-01-02-01-04.wav,sad
dataset/RAVDESS\Actor_04\03-01-04-01-02-02-04.wav,sad
dataset/RAVDESS\Actor_04\03-01-04-02-01-01-04.wav,sad
dataset/RAVDESS\Actor_04\03-01-04-02-01-02-04.wav,sad
dataset/RAVDESS\Actor_04\03-01-04-02-02-01-04.wav,sad
dataset/RAVDESS\Actor_04\03-01-04-02-02-02-04.wav,sad
dataset/RAVDESS\Actor_04\03-01-05-01-01-01-04.wav,angry
dataset/RAVDESS\Actor_04\03-01-05-01-01-02-04.wav,angry
dataset/RAVDESS\Actor_04\03-01-05-01-02-01-04.wav,angry
dataset/RAVDESS\Actor_04\03-01-05-01-02-02-04.wav,angry
dataset/RAVDESS\Actor_04\03-01-05-02-01-01-04.wav,angry
dataset/RAVDESS\Actor_04\03-01-05-02-01-02-04.wav,angry
dataset/RAVDESS\Actor_04\03-01-05-02-02-01-04.wav,angry
dataset/RAVDESS\Actor_04\03-01-05-02-02-02-04.wav,angry
dataset/RAVDESS\Actor_04\03-01-06-01-01-01-04.wav,fear
dataset/RAVDESS\Actor_04\03-01-06-01-01-02-04.wav,fear
dataset/RAVDESS\Actor_04\03-01-06-01-02-01-04.wav,fear
dataset/RAVDESS\Actor_04\03-01-06-01-02-02-04.wav,fear
dataset/RAVDESS\Actor_04\03-01-06-02-01-01-04.wav,fear
dataset/RAVDESS\Actor_04\03-01-06-02-01-02-04.wav,fear
dataset/RAVDESS\Actor_04\03-01-06-02-02-01-04.wav,fear
dataset/RAVDESS\Actor_04\03-01-06-02-02-02-04.wav,fear
dataset/RAVDESS\Actor_04\03-01-07-01-01-01-04.wav,disgust
dataset/RAVDESS\Actor_04\03-01-07-01-01-02-04.wav,disgust
dataset/RAVDESS\Actor_04\03-01-07-01-02-01-04.wav,disgust
dataset/RAVDESS\Actor_04\03-01-07-01-02-02-04.wav,disgust
dataset/RAVDESS\Actor_04\03-01-07-02-01-01-04.wav,disgust
